Year,STATE/UT,DISTRICT,Assault_on_women_with_intent_to_outrage_her_modesty
2001,westbengal,24_parganas_north,63
2002,westbengal,24_parganas_north,84
2003,westbengal,24_parganas_north,105
2004,westbengal,24_parganas_north,154
2005,westbengal,24_parganas_north,151
2006,westbengal,24_parganas_north,175
2007,westbengal,24_parganas_north,187
2008,westbengal,24_parganas_north,209
2009,westbengal,24_parganas_north,203
2010,westbengal,24_parganas_north,174
2011,westbengal,24_parganas_north,218
2012,westbengal,24_parganas_north,196
2013,westbengal,24_parganas_north,307
2001,westbengal,24_parganas_south,54
2002,westbengal,24_parganas_south,64
2003,westbengal,24_parganas_south,105
2004,westbengal,24_parganas_south,101
2005,westbengal,24_parganas_south,123
2006,westbengal,24_parganas_south,157
2007,westbengal,24_parganas_south,205
2008,westbengal,24_parganas_south,192
2009,westbengal,24_parganas_south,120
2010,westbengal,24_parganas_south,113
2011,westbengal,24_parganas_south,121
2012,westbengal,24_parganas_south,83
2013,westbengal,24_parganas_south,212
2001,andhrapradesh,adilabad,149
2002,andhrapradesh,adilabad,174
2003,andhrapradesh,adilabad,141
2004,andhrapradesh,adilabad,135
2005,andhrapradesh,adilabad,144
2006,andhrapradesh,adilabad,185
2007,andhrapradesh,adilabad,156
2008,andhrapradesh,adilabad,174
2009,andhrapradesh,adilabad,192
2010,andhrapradesh,adilabad,133
2011,andhrapradesh,adilabad,112
2012,andhrapradesh,adilabad,90
2013,andhrapradesh,adilabad,197
2001,uttarpradesh,agra,110
2002,uttarpradesh,agra,86
2003,uttarpradesh,agra,59
2004,uttarpradesh,agra,87
2005,uttarpradesh,agra,80
2006,uttarpradesh,agra,133
2007,uttarpradesh,agra,82
2008,uttarpradesh,agra,123
2009,uttarpradesh,agra,97
2010,uttarpradesh,agra,91
2011,uttarpradesh,agra,196
2012,uttarpradesh,agra,134
2013,uttarpradesh,agra,239
2001,gujarat,ahmedabad_commr.,54
2002,gujarat,ahmedabad_commr.,36
2003,gujarat,ahmedabad_commr.,50
2004,gujarat,ahmedabad_commr.,63
2005,gujarat,ahmedabad_commr.,54
2006,gujarat,ahmedabad_commr.,72
2007,gujarat,ahmedabad_commr.,104
2008,gujarat,ahmedabad_commr.,78
2009,gujarat,ahmedabad_commr.,74
2010,gujarat,ahmedabad_commr.,73
2011,gujarat,ahmedabad_commr.,83
2012,gujarat,ahmedabad_commr.,79
2013,gujarat,ahmedabad_commr.,180
2001,gujarat,ahmedabad_rural,26
2002,gujarat,ahmedabad_rural,17
2003,gujarat,ahmedabad_rural,18
2004,gujarat,ahmedabad_rural,22
2005,gujarat,ahmedabad_rural,15
2006,gujarat,ahmedabad_rural,31
2007,gujarat,ahmedabad_rural,22
2008,gujarat,ahmedabad_rural,16
2009,gujarat,ahmedabad_rural,17
2010,gujarat,ahmedabad_rural,14
2011,gujarat,ahmedabad_rural,22
2012,gujarat,ahmedabad_rural,33
2013,gujarat,ahmedabad_rural,33
2001,maharashtra,ahmednagar,74
2002,maharashtra,ahmednagar,75
2003,maharashtra,ahmednagar,51
2004,maharashtra,ahmednagar,73
2005,maharashtra,ahmednagar,91
2006,maharashtra,ahmednagar,129
2007,maharashtra,ahmednagar,132
2008,maharashtra,ahmednagar,125
2009,maharashtra,ahmednagar,106
2010,maharashtra,ahmednagar,115
2011,maharashtra,ahmednagar,160
2012,maharashtra,ahmednagar,147
2013,maharashtra,ahmednagar,243
2001,gujarat,ahwa-dang,2
2002,gujarat,ahwa-dang,0
2003,gujarat,ahwa-dang,2
2004,gujarat,ahwa-dang,3
2005,gujarat,ahwa-dang,5
2006,gujarat,ahwa-dang,6
2007,gujarat,ahwa-dang,5
2008,gujarat,ahwa-dang,2
2009,gujarat,ahwa-dang,2
2010,gujarat,ahwa-dang,0
2011,gujarat,ahwa-dang,1
2012,gujarat,ahwa-dang,1
2013,gujarat,ahwa-dang,7
2001,mizoram,aizawl,13
2002,mizoram,aizawl,28
2003,mizoram,aizawl,25
2004,mizoram,aizawl,30
2005,mizoram,aizawl,10
2006,mizoram,aizawl,24
2007,mizoram,aizawl,38
2008,mizoram,aizawl,36
2009,mizoram,aizawl,29
2010,mizoram,aizawl,42
2011,mizoram,aizawl,43
2012,mizoram,aizawl,44
2013,mizoram,aizawl,37
2001,rajasthan,ajmer,95
2002,rajasthan,ajmer,65
2003,rajasthan,ajmer,75
2004,rajasthan,ajmer,78
2005,rajasthan,ajmer,61
2006,rajasthan,ajmer,114
2007,rajasthan,ajmer,105
2008,rajasthan,ajmer,108
2009,rajasthan,ajmer,64
2010,rajasthan,ajmer,81
2011,rajasthan,ajmer,105
2012,rajasthan,ajmer,72
2013,rajasthan,ajmer,166
2001,maharashtra,akola,109
2002,maharashtra,akola,70
2003,maharashtra,akola,80
2004,maharashtra,akola,94
2005,maharashtra,akola,82
2006,maharashtra,akola,95
2007,maharashtra,akola,86
2008,maharashtra,akola,111
2009,maharashtra,akola,97
2010,maharashtra,akola,100
2011,maharashtra,akola,93
2012,maharashtra,akola,92
2013,maharashtra,akola,200
2001,kerala,alapuzha,162
2002,kerala,alapuzha,149
2003,kerala,alapuzha,124
2004,kerala,alapuzha,132
2005,kerala,alapuzha,165
2006,kerala,alapuzha,177
2007,kerala,alapuzha,208
2008,kerala,alapuzha,224
2009,kerala,alapuzha,174
2010,kerala,alapuzha,176
2011,kerala,alapuzha,245
2012,kerala,alapuzha,250
2013,kerala,alapuzha,293
2001,uttarpradesh,aligarh,90
2002,uttarpradesh,aligarh,72
2003,uttarpradesh,aligarh,27
2004,uttarpradesh,aligarh,45
2005,uttarpradesh,aligarh,38
2006,uttarpradesh,aligarh,43
2007,uttarpradesh,aligarh,74
2008,uttarpradesh,aligarh,37
2009,uttarpradesh,aligarh,109
2010,uttarpradesh,aligarh,164
2011,uttarpradesh,aligarh,194
2012,uttarpradesh,aligarh,101
2013,uttarpradesh,aligarh,300
2001,uttarpradesh,allahabad,85
2002,uttarpradesh,allahabad,57
2003,uttarpradesh,allahabad,12
2004,uttarpradesh,allahabad,24
2005,uttarpradesh,allahabad,30
2006,uttarpradesh,allahabad,40
2007,uttarpradesh,allahabad,40
2008,uttarpradesh,allahabad,91
2009,uttarpradesh,allahabad,59
2010,uttarpradesh,allahabad,55
2011,uttarpradesh,allahabad,93
