Year,STATE/UT,DISTRICT,Dowry_Deaths
2001,westbengal,24_parganas_north,23
2002,westbengal,24_parganas_north,29
2003,westbengal,24_parganas_north,24
2004,westbengal,24_parganas_north,55
2005,westbengal,24_parganas_north,71
2006,westbengal,24_parganas_north,74
2007,westbengal,24_parganas_north,53
2008,westbengal,24_parganas_north,67
2009,westbengal,24_parganas_north,54
2010,westbengal,24_parganas_north,71
2011,westbengal,24_parganas_north,88
2012,westbengal,24_parganas_north,74
2013,westbengal,24_parganas_north,35
2001,westbengal,24_parganas_south,48
2002,westbengal,24_parganas_south,53
2003,westbengal,24_parganas_south,47
2004,westbengal,24_parganas_south,43
2005,westbengal,24_parganas_south,64
2006,westbengal,24_parganas_south,68
2007,westbengal,24_parganas_south,67
2008,westbengal,24_parganas_south,53
2009,westbengal,24_parganas_south,63
2010,westbengal,24_parganas_south,48
2011,westbengal,24_parganas_south,43
2012,westbengal,24_parganas_south,45
2013,westbengal,24_parganas_south,49
2001,andhrapradesh,adilabad,16
2002,andhrapradesh,adilabad,20
2003,andhrapradesh,adilabad,11
2004,andhrapradesh,adilabad,14
2005,andhrapradesh,adilabad,21
2006,andhrapradesh,adilabad,22
2007,andhrapradesh,adilabad,21
2008,andhrapradesh,adilabad,5
2009,andhrapradesh,adilabad,13
2010,andhrapradesh,adilabad,18
2011,andhrapradesh,adilabad,20
2012,andhrapradesh,adilabad,7
2013,andhrapradesh,adilabad,12
2001,uttarpradesh,agra,63
2002,uttarpradesh,agra,50
2003,uttarpradesh,agra,55
2004,uttarpradesh,agra,70
2005,uttarpradesh,agra,38
2006,uttarpradesh,agra,63
2007,uttarpradesh,agra,78
2008,uttarpradesh,agra,77
2009,uttarpradesh,agra,83
2010,uttarpradesh,agra,80
2011,uttarpradesh,agra,87
2012,uttarpradesh,agra,88
2013,uttarpradesh,agra,98
2001,gujarat,ahmedabad_commr.,7
2002,gujarat,ahmedabad_commr.,6
2003,gujarat,ahmedabad_commr.,3
2004,gujarat,ahmedabad_commr.,10
2005,gujarat,ahmedabad_commr.,1
2006,gujarat,ahmedabad_commr.,4
2007,gujarat,ahmedabad_commr.,4
2008,gujarat,ahmedabad_commr.,1
2009,gujarat,ahmedabad_commr.,5
2010,gujarat,ahmedabad_commr.,12
2011,gujarat,ahmedabad_commr.,19
2012,gujarat,ahmedabad_commr.,11
2013,gujarat,ahmedabad_commr.,20
2001,gujarat,ahmedabad_rural,0
2002,gujarat,ahmedabad_rural,7
2003,gujarat,ahmedabad_rural,1
2004,gujarat,ahmedabad_rural,1
2005,gujarat,ahmedabad_rural,0
2006,gujarat,ahmedabad_rural,0
2007,gujarat,ahmedabad_rural,0
2008,gujarat,ahmedabad_rural,1
2009,gujarat,ahmedabad_rural,1
2010,gujarat,ahmedabad_rural,0
2011,gujarat,ahmedabad_rural,1
2012,gujarat,ahmedabad_rural,0
2013,gujarat,ahmedabad_rural,0
2001,maharashtra,ahmednagar,0
2002,maharashtra,ahmednagar,8
2003,maharashtra,ahmednagar,15
2004,maharashtra,ahmednagar,0
2005,maharashtra,ahmednagar,0
2006,maharashtra,ahmednagar,0
2007,maharashtra,ahmednagar,3
2008,maharashtra,ahmednagar,0
2009,maharashtra,ahmednagar,0
2010,maharashtra,ahmednagar,10
2011,maharashtra,ahmednagar,32
2012,maharashtra,ahmednagar,23
2013,maharashtra,ahmednagar,10
2001,gujarat,ahwa-dang,0
2002,gujarat,ahwa-dang,0
2003,gujarat,ahwa-dang,0
2004,gujarat,ahwa-dang,0
2005,gujarat,ahwa-dang,0
2006,gujarat,ahwa-dang,0
2007,gujarat,ahwa-dang,0
2008,gujarat,ahwa-dang,0
2009,gujarat,ahwa-dang,0
2010,gujarat,ahwa-dang,0
2011,gujarat,ahwa-dang,1
2012,gujarat,ahwa-dang,0
2013,gujarat,ahwa-dang,0
2001,mizoram,aizawl,0
2002,mizoram,aizawl,0
2003,mizoram,aizawl,0
2004,mizoram,aizawl,0
2005,mizoram,aizawl,0
2006,mizoram,aizawl,0
2007,mizoram,aizawl,0
2008,mizoram,aizawl,0
2009,mizoram,aizawl,0
2010,mizoram,aizawl,0
2011,mizoram,aizawl,0
2012,mizoram,aizawl,0
2013,mizoram,aizawl,0
2001,rajasthan,ajmer,12
2002,rajasthan,ajmer,23
2003,rajasthan,ajmer,17
2004,rajasthan,ajmer,8
2005,rajasthan,ajmer,11
2006,rajasthan,ajmer,9
2007,rajasthan,ajmer,19
2008,rajasthan,ajmer,17
2009,rajasthan,ajmer,17
2010,rajasthan,ajmer,12
2011,rajasthan,ajmer,15
2012,rajasthan,ajmer,13
2013,rajasthan,ajmer,16
2001,maharashtra,akola,2
2002,maharashtra,akola,4
2003,maharashtra,akola,9
2004,maharashtra,akola,6
2005,maharashtra,akola,3
2006,maharashtra,akola,1
2007,maharashtra,akola,3
2008,maharashtra,akola,7
2009,maharashtra,akola,10
2010,maharashtra,akola,12
2011,maharashtra,akola,13
2012,maharashtra,akola,4
2013,maharashtra,akola,4
2001,kerala,alapuzha,1
2002,kerala,alapuzha,2
2003,kerala,alapuzha,3
2004,kerala,alapuzha,0
2005,kerala,alapuzha,1
2006,kerala,alapuzha,1
2007,kerala,alapuzha,3
2008,kerala,alapuzha,2
2009,kerala,alapuzha,1
2010,kerala,alapuzha,0
2011,kerala,alapuzha,1
2012,kerala,alapuzha,1
2013,kerala,alapuzha,1
2001,uttarpradesh,aligarh,44
2002,uttarpradesh,aligarh,38
2003,uttarpradesh,aligarh,33
2004,uttarpradesh,aligarh,36
2005,uttarpradesh,aligarh,43
2006,uttarpradesh,aligarh,50
2007,uttarpradesh,aligarh,70
2008,uttarpradesh,aligarh,58
2009,uttarpradesh,aligarh,54
2010,uttarpradesh,aligarh,69
2011,uttarpradesh,aligarh,73
2012,uttarpradesh,aligarh,71
2013,uttarpradesh,aligarh,73
2001,uttarpradesh,allahabad,56
2002,uttarpradesh,allahabad,63
2003,uttarpradesh,allahabad,40
2004,uttarpradesh,allahabad,57
2005,uttarpradesh,allahabad,40
2006,uttarpradesh,allahabad,46
2007,uttarpradesh,allahabad,63
2008,uttarpradesh,allahabad,68
2009,uttarpradesh,allahabad,70
2010,uttarpradesh,allahabad,84
2011,uttarpradesh,allahabad,75
2012,uttarpradesh,allahabad,63
2013,uttarpradesh,allahabad,66
2001,uttarakhand,almora,3
2002,uttarakhand,almora,11
2003,uttarakhand,almora,9
2004,uttarakhand,almora,7
2005,uttarakhand,almora,6
2006,uttarakhand,almora,5
2007,uttarakhand,almora,5
2008,uttarakhand,almora,8
2009,uttarakhand,almora,4
2010,uttarakhand,almora,4
2011,uttarakhand,almora,6
2012,uttarakhand,almora,2
2013,uttarakhand,almora,2
2001,rajasthan,alwar,43
2002,rajasthan,alwar,42
2003,rajasthan,alwar,42
2004,rajasthan,alwar,30
2005,rajasthan,alwar,31
2006,rajasthan,alwar,36
2007,rajasthan,alwar,43
2008,rajasthan,alwar,38
2009,rajasthan,alwar,35
2010,rajasthan,alwar,42
2011,rajasthan,alwar,53
2012,rajasthan,alwar,47
2013,rajasthan,alwar,42
2001,uttarpradesh,ambedkar_nagar,14
2002,uttarpradesh,ambedkar_nagar,16
2003,uttarpradesh,ambedkar_nagar,10
2004,uttarpradesh,ambedkar_nagar,4
2005,uttarpradesh,ambedkar_nagar,13
