STATE/UT,DISTRICT,State_code,District_code
westbengal,24_parganas_north,32,0
westbengal,24_parganas_south,32,1
andhrapradesh,adilabad,1,2
uttarpradesh,agra,31,3
gujarat,ahmedabad_commr.,10,4
gujarat,ahmedabad_rural,10,5
maharashtra,ahmednagar,19,6
gujarat,ahwa-dang,10,7
mizoram,aizawl,22,8
rajasthan,ajmer,26,9
maharashtra,akola,19,10
kerala,alapuzha,16,11
uttarpradesh,aligarh,31,12
uttarpradesh,allahabad,31,13
uttarakhand,almora,30,14
rajasthan,alwar,26,15
uttarpradesh,ambedkar_nagar,31,16
maharashtra,amravati_commr.,19,17
maharashtra,amravati_rural,19,18
gujarat,amreli,10,19
gujarat,anand,10,20
andhrapradesh,anantapur,1,21
jammu&kashmir,anantnag,13,22
odisha,angul,24,23
bihar,araria,4,24
bihar,arwal,4,25
westbengal,asansol,32,26
uttarpradesh,auraiya,31,27
bihar,aurangabad,4,28
maharashtra,aurangabad_commr.,19,29
maharashtra,aurangabad_rural,19,30
jammu&kashmir,awantipora,13,31
uttarpradesh,azamgarh,31,32
uttarpradesh,badaun,31,33
bihar,bagaha,4,34
karnataka,bagalkot,15,35
uttarakhand,bageshwar,30,36
uttarpradesh,baghpat,31,37
uttarpradesh,bahraich,31,38
madhyapradesh,balaghat,18,39
odisha,balasore,24,40
uttarpradesh,ballia,31,41
chhattisgarh,balrampur,6,42
uttarpradesh,balrampur,31,42
uttarpradesh,banda,31,43
karnataka,bangalore_commr.,15,44
karnataka,bangalore_rural,15,45
bihar,banka,4,46
westbengal,bankura,32,47
rajasthan,banswara,26,48
uttarpradesh,barabanki,31,49
odisha,baragarh,24,50
jammu&kashmir,baramulla,13,51
rajasthan,baran,26,52
uttarpradesh,bareilly,31,53
rajasthan,barmer,26,54
punjab,barnala,25,55
assam,barpeta,3,56
madhyapradesh,barwani,18,57
uttarpradesh,basti,31,58
punjab,batala,25,59
maharashtra,beed,19,60
bihar,begusarai,4,61
karnataka,belgaum,15,62
karnataka,bellary,15,63
odisha,berhampur,24,64
bihar,bettiah,4,65
madhyapradesh,betul,18,66
bihar,bhabhua,4,67
