Year,STATE/UT,DISTRICT,Insult_to_modesty_of_Women
2001,westbengal,24_parganas_north,0
2002,westbengal,24_parganas_north,1
2003,westbengal,24_parganas_north,3
2004,westbengal,24_parganas_north,4
2005,westbengal,24_parganas_north,5
2006,westbengal,24_parganas_north,5
2007,westbengal,24_parganas_north,2
2008,westbengal,24_parganas_north,5
2009,westbengal,24_parganas_north,3
2010,westbengal,24_parganas_north,8
2011,westbengal,24_parganas_north,10
2012,westbengal,24_parganas_north,1
2013,westbengal,24_parganas_north,8
2001,westbengal,24_parganas_south,0
2002,westbengal,24_parganas_south,2
2003,westbengal,24_parganas_south,1
2004,westbengal,24_parganas_south,3
2005,westbengal,24_parganas_south,2
2006,westbengal,24_parganas_south,3
2007,westbengal,24_parganas_south,4
2008,westbengal,24_parganas_south,0
2009,westbengal,24_parganas_south,1
2010,westbengal,24_parganas_south,0
2011,westbengal,24_parganas_south,3
2012,westbengal,24_parganas_south,0
2013,westbengal,24_parganas_south,2
2001,andhrapradesh,adilabad,34
2002,andhrapradesh,adilabad,63
2003,andhrapradesh,adilabad,39
2004,andhrapradesh,adilabad,71
2005,andhrapradesh,adilabad,77
2006,andhrapradesh,adilabad,107
2007,andhrapradesh,adilabad,133
2008,andhrapradesh,adilabad,103
2009,andhrapradesh,adilabad,163
2010,andhrapradesh,adilabad,155
2011,andhrapradesh,adilabad,142
2012,andhrapradesh,adilabad,155
2013,andhrapradesh,adilabad,138
2001,uttarpradesh,agra,114
2002,uttarpradesh,agra,82
2003,uttarpradesh,agra,55
2004,uttarpradesh,agra,89
2005,uttarpradesh,agra,162
2006,uttarpradesh,agra,152
2007,uttarpradesh,agra,107
2008,uttarpradesh,agra,109
2009,uttarpradesh,agra,85
2010,uttarpradesh,agra,0
2011,uttarpradesh,agra,0
2012,uttarpradesh,agra,0
2013,uttarpradesh,agra,0
2001,gujarat,ahmedabad_commr.,27
2002,gujarat,ahmedabad_commr.,18
2003,gujarat,ahmedabad_commr.,30
2004,gujarat,ahmedabad_commr.,20
2005,gujarat,ahmedabad_commr.,26
2006,gujarat,ahmedabad_commr.,22
