Year,STATE/UT,DISTRICT,Kidnapping_and_Abduction
2001,westbengal,24_parganas_north,63
2002,westbengal,24_parganas_north,63
2003,westbengal,24_parganas_north,103
2004,westbengal,24_parganas_north,124
2005,westbengal,24_parganas_north,153
2006,westbengal,24_parganas_north,140
2007,westbengal,24_parganas_north,236
2008,westbengal,24_parganas_north,215
2009,westbengal,24_parganas_north,249
2010,westbengal,24_parganas_north,292
2011,westbengal,24_parganas_north,414
2012,westbengal,24_parganas_north,338
2013,westbengal,24_parganas_north,258
2001,westbengal,24_parganas_south,52
2002,westbengal,24_parganas_south,66
2003,westbengal,24_parganas_south,69
2004,westbengal,24_parganas_south,100
2005,westbengal,24_parganas_south,117
2006,westbengal,24_parganas_south,154
2007,westbengal,24_parganas_south,176
2008,westbengal,24_parganas_south,275
2009,westbengal,24_parganas_south,128
2010,westbengal,24_parganas_south,215
2011,westbengal,24_parganas_south,349
2012,westbengal,24_parganas_south,419
2013,westbengal,24_parganas_south,397
2001,andhrapradesh,adilabad,30
2002,andhrapradesh,adilabad,32
2003,andhrapradesh,adilabad,16
2004,andhrapradesh,adilabad,42
2005,andhrapradesh,adilabad,46
2006,andhrapradesh,adilabad,71
2007,andhrapradesh,adilabad,72
2008,andhrapradesh,adilabad,26
2009,andhrapradesh,adilabad,56
2010,andhrapradesh,adilabad,48
2011,andhrapradesh,adilabad,70
2012,andhrapradesh,adilabad,61
2013,andhrapradesh,adilabad,47
2001,uttarpradesh,agra,132
2002,uttarpradesh,agra,102
2003,uttarpradesh,agra,73
2004,uttarpradesh,agra,106
2005,uttarpradesh,agra,77
2006,uttarpradesh,agra,134
2007,uttarpradesh,agra,149
2008,uttarpradesh,agra,183
2009,uttarpradesh,agra,185
2010,uttarpradesh,agra,212
2011,uttarpradesh,agra,328
2012,uttarpradesh,agra,255
2013,uttarpradesh,agra,335
2001,gujarat,ahmedabad_commr.,117
2002,gujarat,ahmedabad_commr.,92
2003,gujarat,ahmedabad_commr.,96
2004,gujarat,ahmedabad_commr.,122
2005,gujarat,ahmedabad_commr.,136
2006,gujarat,ahmedabad_commr.,146
2007,gujarat,ahmedabad_commr.,147
2008,gujarat,ahmedabad_commr.,137
2009,gujarat,ahmedabad_commr.,132
2010,gujarat,ahmedabad_commr.,177
2011,gujarat,ahmedabad_commr.,184
2012,gujarat,ahmedabad_commr.,183
2013,gujarat,ahmedabad_commr.,353
2001,gujarat,ahmedabad_rural,27
2002,gujarat,ahmedabad_rural,11
2003,gujarat,ahmedabad_rural,13
2004,gujarat,ahmedabad_rural,28
2005,gujarat,ahmedabad_rural,26
2006,gujarat,ahmedabad_rural,27
2007,gujarat,ahmedabad_rural,46
2008,gujarat,ahmedabad_rural,35
2009,gujarat,ahmedabad_rural,38
2010,gujarat,ahmedabad_rural,41
2011,gujarat,ahmedabad_rural,71
2012,gujarat,ahmedabad_rural,67
2013,gujarat,ahmedabad_rural,62
2001,maharashtra,ahmednagar,25
2002,maharashtra,ahmednagar,20
2003,maharashtra,ahmednagar,13
2004,maharashtra,ahmednagar,13
2005,maharashtra,ahmednagar,25
2006,maharashtra,ahmednagar,22
2007,maharashtra,ahmednagar,25
2008,maharashtra,ahmednagar,33
2009,maharashtra,ahmednagar,25
2010,maharashtra,ahmednagar,45
2011,maharashtra,ahmednagar,59
2012,maharashtra,ahmednagar,49
2013,maharashtra,ahmednagar,54
2001,gujarat,ahwa-dang,1
2002,gujarat,ahwa-dang,1
2003,gujarat,ahwa-dang,0
2004,gujarat,ahwa-dang,0
2005,gujarat,ahwa-dang,0
2006,gujarat,ahwa-dang,0
2007,gujarat,ahwa-dang,0
2008,gujarat,ahwa-dang,2
2009,gujarat,ahwa-dang,0
2010,gujarat,ahwa-dang,0
2011,gujarat,ahwa-dang,0
2012,gujarat,ahwa-dang,1
2013,gujarat,ahwa-dang,5
2001,mizoram,aizawl,0
2002,mizoram,aizawl,0
2003,mizoram,aizawl,1
2004,mizoram,aizawl,0
2005,mizoram,aizawl,0
2006,mizoram,aizawl,0
2007,mizoram,aizawl,0
