Year,STATE/UT,DISTRICT,Rape
2001,westbengal,24_parganas_north,53
2002,westbengal,24_parganas_north,88
2003,westbengal,24_parganas_north,92
2004,westbengal,24_parganas_north,176
2005,westbengal,24_parganas_north,217
2006,westbengal,24_parganas_north,174
2007,westbengal,24_parganas_north,231
2008,westbengal,24_parganas_north,192
2009,westbengal,24_parganas_north,166
2010,westbengal,24_parganas_north,173
2011,westbengal,24_parganas_north,203
2012,westbengal,24_parganas_north,118
2013,westbengal,24_parganas_north,115
2001,westbengal,24_parganas_south,47
2002,westbengal,24_parganas_south,68
2003,westbengal,24_parganas_south,89
2004,westbengal,24_parganas_south,122
2005,westbengal,24_parganas_south,136
2006,westbengal,24_parganas_south,190
2007,westbengal,24_parganas_south,205
2008,westbengal,24_parganas_south,308
2009,westbengal,24_parganas_south,280
2010,westbengal,24_parganas_south,258
2011,westbengal,24_parganas_south,274
2012,westbengal,24_parganas_south,244
2013,westbengal,24_parganas_south,189
2001,andhrapradesh,adilabad,50
2002,andhrapradesh,adilabad,37
2003,andhrapradesh,adilabad,35
2004,andhrapradesh,adilabad,50
2005,andhrapradesh,adilabad,53
2006,andhrapradesh,adilabad,64
2007,andhrapradesh,adilabad,46
2008,andhrapradesh,adilabad,50
2009,andhrapradesh,adilabad,67
2010,andhrapradesh,adilabad,48
2011,andhrapradesh,adilabad,84
2012,andhrapradesh,adilabad,88
2013,andhrapradesh,adilabad,61
2001,uttarpradesh,agra,66
2002,uttarpradesh,agra,41
2003,uttarpradesh,agra,27
2004,uttarpradesh,agra,32
2005,uttarpradesh,agra,29
2006,uttarpradesh,agra,26
2007,uttarpradesh,agra,30
2008,uttarpradesh,agra,42
2009,uttarpradesh,agra,40
2010,uttarpradesh,agra,26
2011,uttarpradesh,agra,76
2012,uttarpradesh,agra,58
2013,uttarpradesh,agra,78
2001,gujarat,ahmedabad_commr.,39
2002,gujarat,ahmedabad_commr.,12
2003,gujarat,ahmedabad_commr.,18
2004,gujarat,ahmedabad_commr.,40
2005,gujarat,ahmedabad_commr.,35
2006,gujarat,ahmedabad_commr.,46
2007,gujarat,ahmedabad_commr.,37
2008,gujarat,ahmedabad_commr.,44
2009,gujarat,ahmedabad_commr.,63
2010,gujarat,ahmedabad_commr.,49
2011,gujarat,ahmedabad_commr.,60
2012,gujarat,ahmedabad_commr.,63
2013,gujarat,ahmedabad_commr.,116
2001,gujarat,ahmedabad_rural,5
2002,gujarat,ahmedabad_rural,7
2003,gujarat,ahmedabad_rural,3
2004,gujarat,ahmedabad_rural,12
2005,gujarat,ahmedabad_rural,7
2006,gujarat,ahmedabad_rural,10
2007,gujarat,ahmedabad_rural,6
2008,gujarat,ahmedabad_rural,3
2009,gujarat,ahmedabad_rural,9
2010,gujarat,ahmedabad_rural,8
2011,gujarat,ahmedabad_rural,10
2012,gujarat,ahmedabad_rural,5
2013,gujarat,ahmedabad_rural,17
2001,maharashtra,ahmednagar,44
2002,maharashtra,ahmednagar,45
2003,maharashtra,ahmednagar,44
2004,maharashtra,ahmednagar,41
2005,maharashtra,ahmednagar,56
2006,maharashtra,ahmednagar,68
2007,maharashtra,ahmednagar,55
2008,maharashtra,ahmednagar,49
2009,maharashtra,ahmednagar,55
2010,maharashtra,ahmednagar,57
2011,maharashtra,ahmednagar,78
2012,maharashtra,ahmednagar,61
2013,maharashtra,ahmednagar,105
2001,gujarat,ahwa-dang,1
2002,gujarat,ahwa-dang,4
2003,gujarat,ahwa-dang,0
2004,gujarat,ahwa-dang,2
2005,gujarat,ahwa-dang,5
2006,gujarat,ahwa-dang,3
2007,gujarat,ahwa-dang,5
2008,gujarat,ahwa-dang,3
2009,gujarat,ahwa-dang,3
2010,gujarat,ahwa-dang,1
2011,gujarat,ahwa-dang,1
2012,gujarat,ahwa-dang,1
2013,gujarat,ahwa-dang,4
2001,mizoram,aizawl,26
2002,mizoram,aizawl,36
2003,mizoram,aizawl,24
2004,mizoram,aizawl,6
2005,mizoram,aizawl,10
2006,mizoram,aizawl,31
2007,mizoram,aizawl,35
2008,mizoram,aizawl,39
2009,mizoram,aizawl,27
2010,mizoram,aizawl,34
2011,mizoram,aizawl,35
2012,mizoram,aizawl,42
2013,mizoram,aizawl,37
2001,rajasthan,ajmer,16
2002,rajasthan,ajmer,27
2003,rajasthan,ajmer,36
2004,rajasthan,ajmer,48
2005,rajasthan,ajmer,26
2006,rajasthan,ajmer,53
2007,rajasthan,ajmer,31
2008,rajasthan,ajmer,45
2009,rajasthan,ajmer,47
2010,rajasthan,ajmer,47
2011,rajasthan,ajmer,70
2012,rajasthan,ajmer,70
2013,rajasthan,ajmer,100
2001,maharashtra,akola,15
2002,maharashtra,akola,28
2003,maharashtra,akola,29
2004,maharashtra,akola,38
2005,maharashtra,akola,21
2006,maharashtra,akola,25
2007,maharashtra,akola,22
2008,maharashtra,akola,26
2009,maharashtra,akola,21
2010,maharashtra,akola,25
